UNITID,EFALEVEL,EFTOTLT,EFTOTLM,EFTOTLW
121044,1,25268,12172,13096
121150,1,7315,2925,4390
121257,1,1081,433,648
121275,1,370,272,98
121309,1,3359,1185,2174
121345,1,1610,773,837
121363,1,3810,1486,2324
121381,1,571,253,318
121433,1,108,7,101
121619,1,28598,18484,10114
121628,1,102,54,48
121637,1,71,3,68
121691,1,5147,2342,2805
121707,1,4938,2170,2768
121859,1,228,9,219
121868,1,129,3,126
121886,1,16548,8911,7637
121901,1,18165,8017,10148
121983,1,559,152,407
121992,1,210,42,168
122117,1,179,72,107
122180,1,23509,10309,13200
122205,1,20871,9593,11278
122250,1,92,92,0
122296,1,1542,385,1157
122339,1,16310,7722,8588
122366,1,230,224,6
122375,1,24251,11692,12559
122384,1,11891,6587,5304
122409,1,31899,14160,17739
122436,1,8321,3575,4746
122454,1,680,284,396
122506,1,399,185,214
122597,1,29905,12709,17196
122603,1,167,94,73
122612,1,10112,3752,6360
122649,1,194,103,91
122658,1,17629,7543,10086
122685,1,1616,361,1255
122694,1,642,180,462
122728,1,1095,426,669
122746,1,9446,4244,5202
122755,1,31278,15413,15865
122791,1,9377,4818,4559
122834,1,543,173,370
122843,1,672,336,336
122852,1,188,28,160
122889,1,19331,8964,10367
122931,1,8770,4479,4291
122977,1,29999,14306,15693
123013,1,22094,10069,12025
123095,1,589,149,440
123165,1,1009,11,998
123208,1,1199,1154,45
123217,1,10720,4781,5939
123280,1,53,35,18
123299,1,8479,3577,4902
123341,1,18374,8482,9892
123350,1,181,17,164
123396,1,137,9,128
123448,1,216,104,112
123457,1,1255,427,828
123484,1,2533,1311,1222
123493,1,1032,609,423
123509,1,10067,4786,5281
123527,1,12329,5496,6833
123554,1,4257,1667,2590
123563,1,9583,3950,5633
123572,1,9120,3458,5662
123581,1,147,130,17
123633,1,647,260,387
123642,1,374,37,337
123651,1,2415,762,1653
123679,1,898,246,652
123800,1,19591,9232,10359
123855,1,108,101,7
123916,1,90,24,66
123943,1,397,111,286
123952,1,493,309,184
123961,1,41368,19897,21471
123970,1,1146,523,623
124113,1,5444,3128,2316
124283,1,272,134,138
124292,1,366,185,181
124344,1,567,13,554
124487,1,265,131,134
124681,1,2732,1049,1683
124706,1,753,159,594
124779,1,33,3,30
124937,1,925,260,665
125028,1,12908,5830,7078
125037,1,107,48,59
125082,1,105,1,104
125091,1,11504,4980,6524
125170,1,6471,2917,3554
125231,1,51016,11696,39320
125310,1,42,1,41
125462,1,3055,1224,1831
125471,1,10767,4347,6420
125499,1,9636,4334,5302
125532,1,1267,180,1087
125718,1,143,136,7
125727,1,1321,508,813
125763,1,2339,1042,1297
125897,1,1607,779,828
126012,1,434,111,323
126030,1,431,209,222
126049,1,1036,522,514
126076,1,131,131,0
126119,1,6874,2748,4126
126164,1,90,1,89
126182,1,3211,1406,1805
126207,1,4955,2138,2817
126289,1,11621,5682,5939
126359,1,576,71,505
126401,1,389,115,274
126562,1,22206,9657,12549
126580,1,11321,5304,6017
126605,1,434,404,30
126614,1,32017,17671,14346
126669,1,5368,1838,3530
126678,1,2061,928,1133
126687,1,847,121,726
126702,1,1794,986,808
126711,1,5893,2598,3295
126748,1,1138,472,666
126775,1,5790,4137,1653
126784,1,182,180,2
126818,1,31186,15194,15992
126827,1,2049,1336,713
126854,1,62,3,59
126863,1,7874,3328,4546
126872,1,497,107,390
126915,1,423,135,288
126924,1,34,3,31
126942,1,10432,4613,5819
126951,1,1262,1209,53
126979,1,990,582,408
127024,1,438,256,182
127060,1,11778,5128,6650
127158,1,2802,1951,851
127185,1,4021,2050,1971
127200,1,19619,8537,11082
127219,1,53,1,52
127228,1,174,9,165
127273,1,349,148,201
127316,1,205,42,163
127389,1,902,390,512
127556,1,9676,4330,5346
127565,1,22752,10441,12311
127617,1,1851,654,1197
127653,1,992,328,664
127680,1,281,110,171
127699,1,258,58,200
127714,1,889,542,347
127732,1,1962,802,1160
127741,1,12710,4446,8264
127778,1,1449,617,832
127787,1,371,74,297
127820,1,14634,6261,8373
127839,1,339,90,249
127884,1,6718,3044,3674
127909,1,8599,4275,4324
127918,1,9722,3526,6196
127945,1,775,284,491
127954,1,79,6,73
128106,1,7089,2688,4401
128151,1,1184,668,516
128179,1,815,665,150
128188,1,536,134,402
128258,1,1791,825,966
128328,1,3993,3097,896
128337,1,161,6,155
128391,1,2404,1330,1074
128425,1,18,18,0
128498,1,1582,520,1062
128540,1,127,7,120
128577,1,1715,819,896
128586,1,59,59,0
128674,1,524,139,385
128683,1,837,216,621
128726,1,171,37,134
128744,1,4842,1820,3022
128771,1,11865,5828,6037
128780,1,1580,542,1038
128896,1,304,75,229
128902,1,1922,759,1163
128957,1,151,24,127
129002,1,298,199,99
129020,1,25911,12957,12954
129154,1,3388,581,2807
129181,1,655,630,25
129215,1,5368,2444,2924
129242,1,4919,1905,3014
129349,1,156,10,146
129367,1,4168,1229,2939
129428,1,281,224,57
129482,1,327,37,290
129491,1,123,67,56
129525,1,6820,3228,3592
129534,1,385,269,116
129543,1,5813,2231,3582
129613,1,62,5,57
129686,1,77,28,49
129695,1,7571,3564,4007
129729,1,7294,3059,4235
129756,1,2900,1271,1629
129774,1,866,464,402
129808,1,4749,1944,2805
129923,1,465,192,273
129932,1,302,294,8
129941,1,6555,3300,3255
129969,1,295,64,231
130004,1,6556,2782,3774
130040,1,1549,535,1014
130110,1,155,52,103
130129,1,503,66,437
130174,1,2630,1710,920
130183,1,8082,3253,4829
130217,1,1929,745,1184
130226,1,8803,3275,5528
130253,1,6983,2265,4718
130314,1,2640,271,2369
130396,1,8186,3409,4777
130448,1,827,103,724
130493,1,10804,3887,6917
130509,1,422,44,378
130581,1,112,32,80
130590,1,2390,1217,1173
130606,1,4547,1989,2558
130624,1,902,597,305
130697,1,3205,1539,1666
130776,1,6025,2752,3273
130785,1,10,1,9
130794,1,12109,6148,5961
130837,1,55,5,50
130873,1,638,50,588
130891,1,4429,1675,2754
130907,1,3031,1130,1901
130916,1,7030,2920,4110
130934,1,4336,1618,2718
130943,1,22166,9778,12388
130989,1,1868,1129,739
131061,1,146,3,143
131098,1,1655,777,878
131113,1,13621,4640,8981
131159,1,12818,5041,7777
131283,1,6725,3188,3537
131308,1,548,138,410
131399,1,5011,1851,3160
131405,1,119,98,21
131450,1,1561,622,939
131469,1,25264,11115,14149
131496,1,17849,8264,9585
131520,1,10297,3576,6721
131742,1,1373,195,1178
131803,1,1372,534,838
131830,1,37,18,19
131876,1,2506,197,2309
131973,1,628,320,308
132268,1,689,655,34
132338,1,1924,925,999
132374,1,902,538,364
132408,1,529,339,190
132471,1,9030,3069,5961
132523,1,35,15,20
132602,1,3787,1548,2239
132657,1,2297,1174,1123
132666,1,129,39,90
132675,1,140,76,64
132693,1,16711,7042,9669
132709,1,43883,18035,25848
132806,1,59,20,39
132842,1,991,200,791
132851,1,8162,3089,5073
132879,1,302,156,146
132903,1,59589,26844,32745
132976,1,567,276,291
133021,1,2160,795,1365
133085,1,505,261,244
133155,1,614,270,344
133386,1,14865,6001,8864
133465,1,1109,256,853
133492,1,2173,844,1329
133508,1,15423,6163,9260
133526,1,862,461,401
133553,1,5279,4323,956
133650,1,10743,4136,6607
133669,1,30759,13178,17581
133702,1,28134,11532,16602
133711,1,2839,1177,1662
133809,1,558,279,279
133845,1,630,87,543
133854,1,508,86,422
133863,1,454,91,363
133872,1,2293,500,1793
133881,1,5644,3786,1858
133942,1,68,9,59
133951,1,47663,21064,26599
133960,1,1139,515,624
133979,1,1560,606,954
133997,1,5818,2028,3790
134024,1,70,16,54
134079,1,2619,1015,1604
134097,1,40909,18407,22502
134112,1,4330,1401,2929
134121,1,103,25,78
134130,1,49878,23028,26850
134149,1,2054,520,1534
134228,1,28,7,21
134237,1,20949,15170,5779
134291,1,675,517,158
134307,1,710,685,25
134343,1,6271,2450,3821
134422,1,68,4,64
134495,1,26590,11565,15025
134510,1,200,108,92
134529,1,73,5,68
134574,1,173,52,121
134608,1,17248,6977,10271
134680,1,474,238,236
134714,1,257,58,199
134811,1,3208,1284,1924
134909,1,463,310,153
134945,1,4157,1497,2660
135063,1,449,84,365
135081,1,17129,5432,11697
135124,1,614,143,471
135142,1,290,8,282
135160,1,3057,1061,1996
135179,1,637,291,346
135188,1,4288,1665,2623
135267,1,816,575,241
135276,1,1017,647,370
135294,1,890,526,364
135337,1,209,22,187
135364,1,1277,914,363
135391,1,10533,4126,6407
135407,1,1252,616,636
135416,1,254,47,207
135522,1,446,200,246
135610,1,347,115,232
135647,1,1158,839,319
135717,1,66298,27724,38574
135726,1,16935,8268,8667
135735,1,2025,1789,236
135771,1,631,131,500
135939,1,189,68,121
135957,1,768,260,508
136048,1,98,6,92
136066,1,738,466,272
136075,1,39,2,37
136109,1,166,7,159
136145,1,1179,368,811
136172,1,16083,7093,8990
136206,1,646,390,256
136215,1,25670,7844,17826
136233,1,6708,2842,3866
136288,1,759,245,514
136303,1,540,198,342
136330,1,3764,1350,2414
136358,1,29763,12887,16876
136400,1,10206,3960,6246
136473,1,11235,4457,6778
136491,1,1044,735,309
136516,1,11085,4193,6892
136659,1,744,419,325
136701,1,106,101,5
136765,1,717,387,330
136774,1,1253,486,767
136783,1,32,4,28
136826,1,816,475,341
136950,1,3153,1288,1865
137023,1,631,312,319
137032,1,16275,6773,9502
137078,1,31820,12600,19220
137087,1,1128,629,499
137096,1,15113,6738,8375
137120,1,670,423,247
137148,1,793,201,592
137209,1,18427,8003,10424
137245,1,1244,606,638
137272,1,94,93,1
137281,1,6127,2320,3807
137315,1,2699,1034,1665
137351,1,41428,17988,23440
137476,1,2315,1010,1305
137537,1,226,25,201
137546,1,4044,1792,2252
137564,1,3434,1519,1915
137591,1,281,70,211
137713,1,142,45,97
137759,1,13509,6310,7199
137777,1,44,44,0
137801,1,770,419,351
137810,1,486,140,346
137847,1,7260,3274,3986
137856,1,58,46,12
137865,1,421,205,216
137953,1,323,190,133
137962,1,224,135,89
138132,1,79,4,75
138187,1,42180,18843,23337
138275,1,1162,537,625
138284,1,349,184,165
138293,1,715,478,237
138309,1,5640,1441,4199
138354,1,12588,5224,7364
138372,1,703,364,339
138479,1,827,430,397
138488,1,437,131,306
138497,1,288,177,111
138558,1,3394,1552,1842
138600,1,915,10,905
138655,1,383,305,78
138664,1,36,16,20
138682,1,3894,1551,2343
138691,1,6195,1891,4304
138716,1,4260,1382,2878
138761,1,316,156,160
138789,1,7101,2292,4809
138813,1,3078,1732,1346
138822,1,528,51,477
138840,1,4859,1958,2901
138868,1,1439,638,801
138901,1,3016,1109,1907
138929,1,579,270,309
138938,1,62,19,43
138947,1,3458,878,2580
138956,1,4379,1897,2482
139010,1,2695,760,1935
139074,1,751,138,613
139092,1,53,7,46
139144,1,2223,831,1392
139153,1,788,324,464
139199,1,2854,428,2426
139205,1,693,376,317
139214,1,233,16,217
139250,1,2987,950,2037
139278,1,6915,2435,4480
139287,1,103,69,34
139311,1,7261,2214,5047
139348,1,233,113,120
139357,1,3739,1354,2385
139366,1,8156,3346,4810
139384,1,6051,2047,4004
139393,1,1173,500,673
139463,1,5015,1961,3054
139506,1,68,29,39
139579,1,1510,465,1045
139621,1,2857,1225,1632
139630,1,806,396,410
139658,1,14513,6328,8185
139700,1,5492,2101,3391
139719,1,3180,1286,1894
139746,1,60,16,44
139755,1,21471,14846,6625
139764,1,2806,1003,1803
139861,1,6551,2573,3978
139904,1,1651,794,857
139931,1,20517,9860,10657
139940,1,32165,13372,18793
139959,1,34536,14773,19763
139968,1,4187,1387,2800
139986,1,5177,1793,3384
139995,1,174,84,90
140003,1,368,59,309
140012,1,7180,2823,4357
140146,1,562,294,268
140164,1,24629,10204,14425
140234,1,940,411,529
140243,1,3579,1349,2230
140252,1,2730,1460,1270
140331,1,10470,4556,5914
140340,1,459,193,266
140447,1,8351,3038,5313
140553,1,2170,2166,4
140562,1,372,127,245
140599,1,2058,775,1283
140678,1,2441,1021,1420
140696,1,1100,466,634
140720,1,924,472,452
140818,1,2368,667,1701
140827,1,116,46,70
140872,1,1309,647,662
140942,1,4784,1827,2957
140951,1,11093,4064,7029
140960,1,4772,2117,2655
140988,1,1629,676,953
141006,1,1828,910,918
141015,1,135,69,66
141060,1,2129,0,2129
141097,1,6549,5144,1405
141158,1,1546,506,1040
141167,1,1090,457,633
141185,1,870,410,460
141237,1,1606,698,908
141255,1,3966,1374,2592
141264,1,11885,4598,7287
141325,1,700,32,668
141334,1,11929,4254,7675
141361,1,1117,469,648
141468,1,1678,649,1029
141486,1,2752,925,1827
141565,1,4043,1628,2415
141574,1,20006,8849,11157
141608,1,85,40,45
141644,1,6736,2998,3738
141680,1,4368,2583,1785
141796,1,8376,3616,4760
141802,1,1530,615,915
141811,1,7976,3289,4687
141839,1,4076,1449,2627
141848,1,81,6,75
141936,1,64,23,41
141945,1,188,62,126
141981,1,2361,792,1569
141990,1,2799,1045,1754
142054,1,552,91,461
142090,1,186,102,84
142115,1,21981,9973,12008
142179,1,725,270,455
142276,1,13326,6194,7132
142285,1,12024,6402,5622
142294,1,1122,495,627
142328,1,4304,1685,2619
142337,1,251,147,104
142407,1,57,0,57
142416,1,25,2,23
142443,1,6029,2402,3627
142461,1,2246,949,1297
142489,1,36,1,35
142522,1,27692,11780,15912
142559,1,8330,2982,5348
142832,1,981,209,772
142869,1,45,4,41
142878,1,40,2,38
142887,1,406,190,216
143048,1,3402,1031,2371
143084,1,2524,1089,1435
143118,1,4946,1608,3338
143181,1,33,2,31
143215,1,11332,5039,6293
143233,1,60,28,32
143279,1,6574,2666,3908
143288,1,543,229,314
143297,1,256,30,226
143303,1,20,2,18
143358,1,5430,2621,2809
143376,1,395,18,377
143464,1,105,1,104
143473,1,83,4,79
143482,1,84,2,82
143491,1,125,1,124
143516,1,79,7,72
143534,1,32,1,31
143543,1,81,8,73
143552,1,86,0,86
143613,1,2328,843,1485
143659,1,437,246,191
143695,1,23,1,22
143853,1,2730,1191,1539
143978,1,1636,321,1315
144005,1,5701,1672,4029
144014,1,251,135,116
144050,1,15048,8722,6326
144157,1,5860,2159,3701
144166,1,6842,2187,4655
144175,1,5298,2274,3024
144184,1,11800,4988,6812
144193,1,9384,3685,5699
144209,1,9036,3802,5234
144218,1,12640,5179,7461
144281,1,10142,4492,5650
144351,1,5286,1644,3642
144467,1,958,472,486
144485,1,590,404,186
144564,1,4035,1802,2233
144573,1,58,5,53
144740,1,24414,11397,13017
144795,1,147,5,142
144865,1,28627,13325,15302
144883,1,684,288,396
144892,1,9775,3927,5848
144944,1,11285,5127,6158
144962,1,3210,1263,1947
144971,1,692,286,406
145099,1,53,2,51
145239,1,387,64,323
145275,1,399,188,211
145309,1,44,16,28
145336,1,5568,1629,3939
145354,1,82,4,78
145372,1,1368,648,720
145406,1,218,4,214
145424,1,81,1,80
145433,1,92,6,86
145460,1,600,137,463
145497,1,522,62,460
145521,1,2031,792,1239
145558,1,2157,973,1184
145600,1,28038,12860,15178
145619,1,6318,2237,4081
145628,1,636,192,444
145637,1,44942,24798,20144
145646,1,2009,886,1123
145682,1,10770,4809,5961
145691,1,1028,504,524
145707,1,1470,520,950
145725,1,7850,5023,2827
145770,1,1017,289,728
145813,1,20272,8878,11394
145831,1,3705,1500,2205
145886,1,129,27,102
146010,1,346,150,196
146205,1,7150,2923,4227
146241,1,1466,743,723
146278,1,1923,779,1144
146296,1,16869,7791,9078
146339,1,1170,511,659
146348,1,3825,1459,2366
146366,1,5258,2131,3127
146393,1,1659,389,1270
146418,1,4717,2168,2549
146427,1,1424,614,810
146454,1,33,0,33
146472,1,17685,7934,9751
146481,1,1618,681,937
146490,1,530,311,219
146506,1,6351,3021,3330
146533,1,316,45,271
146603,1,8520,3788,4732
146612,1,6525,2647,3878
146621,1,55,0,55
146667,1,997,557,440
146676,1,1240,538,702
